trial,participant,setSize,pSwap,pTarget,pBestFoil,bestXi,bestFoilXi,visualFoil,visualMatch,resp,target,bestFoil,bestFoilIdx,dTarget,dBestFoil,dInferredFoil,foilMargin,score
4889,49,6,0.602863636363636,0.397136363636364,0.408364018937401,1,6,5,1,0.7718,2.0908,0.5097,5,1.319,0.2621,0.2621,1.0569,1.38288988021448
5264,53,6,0.704863636363636,0.295136363636364,0.356039751784631,6,6,5,1,0.4516,1.7620926535,0.2214,3,1.3104926535,0.2302,0.2302,1.0802926535,1.37268782372199
6589,67,3,0.340409090909091,0.659590909090909,0.33413988312637,1,3,2,1,1.0429,2.3442,0.8155,2,1.3013,0.2274,0.2274,1.0739,1.29355739181474
9867,99,6,0.813454545454545,0.186545454545455,0.365494723891544,6,6,5,1,1.5707926535,3.0584926535,1.2808,5,1.4877,0.2899926535,0.2899926535,1.1977073465,1.28754463193685
7386,74,6,0.704318181818182,0.295681818181818,0.364472534813216,6,6,5,1,2.2387,0.8079926535,1.9514926535,1,1.4307073465,0.2872073465,0.2872073465,1.1435,1.23595867019141
3937,40,3,0.430272727272727,0.569727272727273,0.413087186985926,1,3,2,1,1.4844926535,2.8231926535,1.7865926535,1,1.3387,0.3021,0.3021,1.0366,1.21614932697987
8708,88,3,0.564363636363636,0.435636363636364,0.399470658026832,1,3,2,1,2.2695,1.0169,2.5455926535,1,1.2526,0.2760926535,0.2760926535,0.9765073465,1.19624293306685
4017,41,3,0.442772727272727,0.557227272727273,0.429421729774278,1,3,2,1,1.3176,2.7019,1.6494926535,1,1.3843,0.3318926535,0.3318926535,1.0524073465,1.18338642814764
7106,72,3,0.672409090909091,0.327590909090909,0.406533492165307,3,3,2,1,1.5707926535,0.1809,1.8923926535,1,1.3898926535,0.3216,0.3216,1.0682926535,1.16872105242707
7308,74,3,0.561045454545455,0.438954545454545,0.352124257651896,1,3,2,1,1.0184,2.3944926535,1.3138,2,1.3760926535,0.2954,0.2954,1.0806926535,1.10173161078038
7518,76,3,0.436818181818182,0.563181818181818,0.364810827437711,1,3,2,1,2.7284926535,1.4794926535,3.0151926535,1,1.249,0.2867,0.2867,0.9623,1.04264169659433
523,6,3,0.474681818181818,0.525318181818182,0.373245214220602,1,3,2,1,2.2441,0.9767,2.5492926535,1,1.2674,0.3051926535,0.3051926535,0.9622073465,1.01111124802312
999,11,3,0.378590909090909,0.621409090909091,0.370236515851594,1,3,2,1,2.7285,1.5013,3.0622926535,1,1.2272,0.3337926535,0.3337926535,0.8934073465,0.861850846252266
